id,rank,hit,title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,1,Yes,God's Plan,Drake,100,0.753,0.45399999999999996,7,-9.488,1,0.0963,0.0244,5.6200000000000004e-05,0.498,0.344,77.17
2,1,Yes,Perfect,Ed Sheeran,97,0.599,0.44799999999999995,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05
3,3,Yes,Finesse,Bruno Mars & Cardi B,98,0.7040000000000001,0.8590000000000001,5,-4.877,0,0.0996,0.0185,0.0,0.0215,0.9259999999999999,105.115
4,1,Yes,Havana,Camila Cabello Featuring Young Thug,98,0.765,0.523,2,-4.333,1,0.03,0.184,3.5600000000000005e-05,0.132,0.39399999999999996,104.988
5,1,Yes,Rockstar,Post Malone Featuring 21 Savage,74,0.664,0.585,7,-6.029,0,0.154,0.18899999999999997,0.0,0.132,0.19899999999999998,159.888
6,6,Yes,New Rules,Dua Lipa,96,0.7709999999999999,0.696,9,-6.257999999999999,0,0.0755,0.00256,9.71e-06,0.179,0.6559999999999999,116.054
7,7,Yes,Pray For Me,The Weeknd & Kendrick Lamar,88,0.7340000000000001,0.667,2,-4.996,1,0.0871,0.092,2.12e-05,0.10400000000000001,0.165,100.57799999999999
8,8,Yes,Stir Fry,Migos,89,0.815,0.816,2,-5.474,1,0.26899999999999996,0.00299,0.0,0.159,0.498,181.967
9,9,Yes,Meant To Be,Bebe Rexha & Florida Georgia Line,96,0.643,0.7829999999999999,10,-6.457999999999999,1,0.0856,0.047,0.0,0.083,0.579,154.084
10,5,Yes,Bad At Love,Halsey,85,0.675,0.736,0,-3.6039999999999996,1,0.0302,0.06,0.0,0.0879,0.607,118.369
11,4,Yes,Thunder,Imagine Dragons,87,0.604,0.826,0,-4.803999999999999,1,0.0434,0.00782,0.15,0.154,0.24100000000000002,167.985
12,12,Yes,Let You Down,NF,90,0.6559999999999999,0.721,5,-5.665,0,0.122,0.298,0.0,0.17300000000000001,0.46799999999999997,148.066
13,11,Yes,Love.,Kendrick Lamar Featuring Zacari,90,0.7979999999999999,0.5820000000000001,10,-7.38,1,0.10300000000000001,0.29,0.0,0.153,0.7659999999999999,126.075
14,6,Yes,MotorSport,"Migos, Nicki Minaj & Cardi B",83,0.8959999999999999,0.515,2,-5.395,1,0.183,0.0338,0.0,0.317,0.174,138.016
15,15,Yes,Him & I,G-Eazy & Halsey,93,0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.90799999999999
16,4,Yes,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,91,0.838,0.7709999999999999,1,-3.7910000000000004,1,0.244,0.0117,0.0,0.0853,0.405,175.957
17,9,Yes,Say Something,Justin Timberlake Featuring Chris Stapleton,89,0.7070000000000001,0.632,10,-7.031000000000001,1,0.0789,0.10300000000000001,1.09e-05,0.0841,0.37200000000000005,97.04
18,16,Yes,I Fall Apart,Post Malone,92,0.573,0.5429999999999999,8,-5.357,0,0.0398,0.0777,0.0,0.19899999999999998,0.308,143.916
19,1,Yes,Bodak Yellow (Money Moves),Cardi B,25,0.813,0.574,9,-9.401,1,0.0577,0.0606,0.0,0.428,0.546,124.98200000000001
