id,rank,hit
1,1,Yes
2,1,Yes
3,3,Yes
4,1,Yes
5,1,Yes
6,6,Yes
7,7,Yes
8,8,Yes
9,9,Yes
10,5,Yes
11,4,Yes
12,12,Yes
13,11,Yes
14,6,Yes
15,15,Yes
16,4,Yes
17,9,Yes
18,16,Yes
19,1,Yes
20,14,Yes
21,21,Yes
22,22,Yes
23,1,Yes
24,12,Yes
25,20,Yes
26,4,Yes
27,27,Yes
28,4,Yes
29,29,Yes
30,30,Yes
31,31,Yes
32,29,Yes
33,26,Yes
34,9,Yes
35,18,Yes
36,3,Yes
37,35,Yes
38,6,Yes
39,39,Yes
40,3,Yes
41,11,Yes
42,11,Yes
43,39,Yes
44,40,Yes
45,18,Yes
46,40,Yes
47,31,Yes
48,18,Yes
49,49,Yes
50,36,Yes
51,51,No
52,28,Yes
53,53,No
54,54,No
55,55,No
56,47,Yes
57,57,No
58,49,Yes
59,59,No
60,60,No
61,61,No
62,62,No
63,58,No
64,64,No
65,65,No
66,46,Yes
67,43,Yes
68,47,Yes
69,69,No
70,55,No
71,60,No
72,52,No
73,73,No
74,74,No
75,75,No
76,61,No
77,69,No
78,78,No
79,53,No
80,50,No
81,81,No
82,52,No
83,7,Yes
84,84,No
85,70,No
86,52,No
87,87,No
88,88,No
89,48,Yes
90,90,No
91,74,No
92,92,No
93,93,No
94,94,No
95,95,No
96,87,No
97,65,No
98,98,No
99,99,No
100,71,No
101,4,Yes
102,24,Yes
103,53,No
104,64,No
105,73,No
106,83,No
107,85,No
108,87,No
109,56,No
110,46,Yes
111,96,No
112,81,No
113,28,Yes
114,9,Yes
115,3,Yes
116,12,Yes
117,5,Yes
118,3,Yes
119,46,Yes
120,45,Yes
121,82,No
122,50,No
123,74,No
124,88,No
125,88,No
126,71,No
127,56,No
128,69,No
129,29,Yes
130,30,Yes
131,80,No
132,84,No
133,75,No
134,4,Yes
135,98,No
136,1,Yes
137,1,Yes
138,56,No
139,82,No
140,92,No
141,66,No
142,90,No
143,90,No
144,13,Yes
145,1,Yes
146,57,No
147,44,Yes
148,86,No
149,64,No
150,41,Yes
151,9,Yes
152,27,Yes
153,32,Yes
154,37,Yes
155,38,Yes
156,44,Yes
157,65,No
158,68,No
159,69,No
160,71,No
161,83,No
162,87,No
163,90,No
164,92,No
165,14,Yes
166,41,Yes
167,44,Yes
168,29,Yes
169,67,No
170,69,No
171,84,No
172,92,No
173,72,No
174,1,Yes
175,6,Yes
176,67,No
177,33,Yes
178,47,Yes
179,80,No
180,82,No
181,86,No
182,35,Yes
183,31,Yes
184,94,No
185,8,Yes
186,47,Yes
187,46,Yes
188,71,No
189,95,No
190,49,Yes
191,8,Yes
192,22,Yes
193,10,Yes
194,40,Yes
195,11,Yes
196,67,No
197,91,No
198,76,No
199,99,No
200,100,No
201,79,No
202,65,No
203,50,No
204,49,Yes
205,78,No
206,98,No
207,26,Yes
208,7,Yes
209,3,Yes
210,45,Yes
211,27,Yes
212,64,No
213,13,Yes
214,89,No
215,96,No
216,50,No
217,2,Yes
218,6,Yes
219,73,No
220,55,No
221,99,No
222,100,No
223,16,Yes
224,47,Yes
225,69,No
226,91,No
227,63,No
228,66,No
229,82,No
230,32,Yes
231,51,No
232,62,No
233,68,No
234,63,No
235,77,No
236,44,Yes
237,92,No
238,20,Yes
239,98,No
240,100,No
241,11,Yes
242,38,Yes
243,36,Yes
244,67,No
245,20,Yes
246,95,No
247,67,No
248,47,Yes
249,20,Yes
250,14,Yes
251,91,No
252,74,No
253,75,No
254,67,No
255,12,Yes
256,68,No
257,84,No
258,86,No
259,79,No
260,46,Yes
261,51,No
262,1,Yes
263,7,Yes
264,48,Yes
265,40,Yes
266,27,Yes
267,84,No
268,5,Yes
269,92,No
270,45,Yes
271,54,No
272,77,No
273,71,No
274,29,Yes
275,80,No
276,33,Yes
277,46,Yes
278,60,No
279,39,Yes
280,58,No
281,91,No
282,81,No
283,79,No
284,77,No
285,59,No
286,31,Yes
287,100,No
288,10,Yes
289,4,Yes
290,80,No
291,82,No
292,84,No
293,90,No
294,91,No
295,94,No
296,95,No
297,42,Yes
298,17,Yes
299,33,Yes
300,38,Yes
301,6,Yes
302,59,No
303,16,Yes
304,79,No
305,80,No
306,77,No
307,56,No
308,84,No
309,92,No
310,76,No
311,55,No
312,95,No
313,62,No
314,87,No
315,19,Yes
316,29,Yes
317,39,Yes
318,10,Yes
319,20,Yes
320,48,Yes
321,92,No
322,77,No
323,92,No
324,76,No
325,11,Yes
326,81,No
327,61,No
328,38,Yes
329,95,No
330,20,Yes
331,8,Yes
332,29,Yes
333,81,No
334,46,Yes
335,45,Yes
336,97,No
337,36,Yes
338,11,Yes
339,2,Yes
340,1,Yes
